0 tensor(20.0981, device='cuda:0')
1 tensor(51.8060, device='cuda:0')
2 tensor(61.4463, device='cuda:0')
3 tensor(65.7354, device='cuda:0')
4 tensor(68.1318, device='cuda:0')
5 tensor(69.5852, device='cuda:0')
6 tensor(70.6502, device='cuda:0')
7 tensor(71.4152, device='cuda:0')
8 tensor(72.0099, device='cuda:0')
9 tensor(72.4852, device='cuda:0')
10 tensor(72.9085, device='cuda:0')
11 tensor(73.1836, device='cuda:0')
12 tensor(73.4835, device='cuda:0')
13 tensor(73.7511, device='cuda:0')
14 tensor(73.9743, device='cuda:0')
15 tensor(74.0786, device='cuda:0')
16 tensor(74.2229, device='cuda:0')
17 tensor(74.4107, device='cuda:0')
18 tensor(74.5287, device='cuda:0')
19 tensor(74.6671, device='cuda:0')
20 tensor(74.7948, device='cuda:0')
21 tensor(74.8329, device='cuda:0')
22 tensor(74.9443, device='cuda:0')
23 tensor(75.0925, device='cuda:0')
24 tensor(75.1093, device='cuda:0')
25 tensor(75.2539, device='cuda:0')
26 tensor(75.3098, device='cuda:0')
27 tensor(75.3163, device='cuda:0')
28 tensor(75.3951, device='cuda:0')
29 tensor(75.4490, device='cuda:0')
30 tensor(81.9971, device='cuda:0')
31 tensor(83.5589, device='cuda:0')
32 tensor(84.1118, device='cuda:0')
33 tensor(84.5161, device='cuda:0')
34 tensor(84.6770, device='cuda:0')
35 tensor(84.8671, device='cuda:0')
36 tensor(84.9695, device='cuda:0')
37 tensor(85.0349, device='cuda:0')
38 tensor(85.0992, device='cuda:0')
39 tensor(85.0960, device='cuda:0')
40 tensor(85.1608, device='cuda:0')
41 tensor(85.1845, device='cuda:0')
42 tensor(85.1578, device='cuda:0')
43 tensor(85.1977, device='cuda:0')
44 tensor(85.1390, device='cuda:0')
45 tensor(85.1745, device='cuda:0')
46 tensor(85.2124, device='cuda:0')
47 tensor(85.1820, device='cuda:0')
48 tensor(85.2117, device='cuda:0')
49 tensor(85.2437, device='cuda:0')
50 tensor(85.2775, device='cuda:0')
51 tensor(85.2785, device='cuda:0')
52 tensor(85.2793, device='cuda:0')
53 tensor(85.2897, device='cuda:0')
54 tensor(85.2964, device='cuda:0')
55 tensor(85.3624, device='cuda:0')
56 tensor(85.3893, device='cuda:0')
57 tensor(85.4359, device='cuda:0')
58 tensor(85.4298, device='cuda:0')
59 tensor(85.4451, device='cuda:0')
60 tensor(87.5765, device='cuda:0')
61 tensor(88.0274, device='cuda:0')
62 tensor(88.2370, device='cuda:0')
63 tensor(88.3780, device='cuda:0')
64 tensor(88.4166, device='cuda:0')
65 tensor(88.5592, device='cuda:0')
66 tensor(88.6177, device='cuda:0')
67 tensor(88.7049, device='cuda:0')
68 tensor(88.7385, device='cuda:0')
69 tensor(88.8271, device='cuda:0')
70 tensor(88.8459, device='cuda:0')
71 tensor(88.9168, device='cuda:0')
72 tensor(88.9104, device='cuda:0')
73 tensor(88.9737, device='cuda:0')
74 tensor(88.9952, device='cuda:0')
75 tensor(89.0222, device='cuda:0')
76 tensor(89.0553, device='cuda:0')
77 tensor(89.0446, device='cuda:0')
78 tensor(89.0985, device='cuda:0')
79 tensor(89.0539, device='cuda:0')
80 tensor(89.2024, device='cuda:0')
81 tensor(89.1925, device='cuda:0')
82 tensor(89.1996, device='cuda:0')
83 tensor(89.2442, device='cuda:0')
84 tensor(89.2506, device='cuda:0')
85 tensor(89.2558, device='cuda:0')
86 tensor(89.2923, device='cuda:0')
87 tensor(89.3075, device='cuda:0')
88 tensor(89.3112, device='cuda:0')
89 tensor(89.3156, device='cuda:0')
90 tensor(89.6439, device='cuda:0')
91 tensor(89.7140, device='cuda:0')
92 tensor(89.7391, device='cuda:0')
93 tensor(89.7364, device='cuda:0')
94 tensor(89.7755, device='cuda:0')
95 tensor(89.7828, device='cuda:0')
96 tensor(89.7765, device='cuda:0')
97 tensor(89.8025, device='cuda:0')
98 tensor(89.8307, device='cuda:0')
99 tensor(89.8144, device='cuda:0')
